iter	Logloss
0	0.2983052954
1	0.2418006513
2	0.2203917873
3	0.2110606385
4	0.2060397279
5	0.2018289203
6	0.1982832228
7	0.1954961768
8	0.1939897034
9	0.1922555291
10	0.1912824743
11	0.1902518151
12	0.1890104884
13	0.1878745128
14	0.1871127106
15	0.1858285407
16	0.185351683
17	0.1850121737
18	0.1843275386
19	0.1839883955
20	0.1835376683
21	0.1831758829
22	0.1828678637
23	0.1826033098
24	0.1820730207
25	0.181830213
26	0.1811119812
27	0.1808695256
28	0.1805492202
29	0.1801006625
30	0.1797676039
31	0.1794308329
32	0.1792368587
33	0.179000311
34	0.1787009543
35	0.1783597968
36	0.178223232
37	0.1779356369
38	0.1777968538
39	0.177586
40	0.1772460626
41	0.177063577
42	0.1768027171
43	0.1766543234
44	0.1763409337
45	0.1758573576
46	0.1755911078
47	0.1754824777
48	0.17525329
49	0.1749877272
50	0.1747106769
51	0.1745334554
52	0.174356038
53	0.1741363277
54	0.1738100754
55	0.1736581534
56	0.1735227025
57	0.1734096533
58	0.1732255076
59	0.1730646728
60	0.1727780551
61	0.1726127287
62	0.1724130654
63	0.1722060791
64	0.1719274315
65	0.1716529039
66	0.1714658464
67	0.1712566678
68	0.171017902
69	0.1708076203
70	0.170689062
71	0.1705623896
72	0.170361128
73	0.1702051705
74	0.170008251
75	0.1698985806
76	0.1697037222
77	0.1695681835
78	0.1694128513
79	0.1692120102
80	0.1690880359
81	0.1689425745
82	0.1687682355
83	0.168654611
84	0.1685487799
85	0.1682968133
86	0.1679987103
87	0.1679176151
88	0.1677083683
89	0.1676131773
90	0.1674665889
91	0.1673680852
92	0.1671253392
93	0.1669431678
94	0.1664651778
95	0.1663861501
96	0.166218845
97	0.166094123
98	0.1659810468
99	0.1658599626
100	0.1658511527
101	0.165697355
102	0.1655554381
103	0.1653313889
104	0.1651813232
105	0.1650747422
106	0.1649950719
107	0.164849721
108	0.1647841639
109	0.1646349293
110	0.164459925
111	0.1643482943
112	0.164227597
113	0.1641291432
114	0.1639798425
115	0.1638582619
116	0.1637209082
117	0.1635673542
118	0.1634002528
119	0.1633011218
120	0.1631508534
121	0.1630139862
122	0.1628442299
123	0.1627075198
124	0.1625272372
125	0.1623602778
126	0.1622805945
127	0.1621844272
128	0.1620735615
129	0.1619136131
130	0.1618354263
131	0.1617278159
132	0.1615697703
133	0.1613022982
134	0.1612076501
135	0.1610391497
136	0.1609338832
137	0.1607548229
138	0.1606211989
139	0.1605377013
140	0.1604658603
141	0.1603305567
142	0.1602075069
143	0.1600460837
144	0.1600331463
145	0.1599105255
146	0.1597642578
147	0.1596612311
148	0.1595249762
149	0.1593397067
150	0.1591335883
151	0.1590286013
152	0.1588698319
153	0.1587247692
154	0.1585561052
155	0.1583301663
156	0.1581953525
157	0.1580469881
