iter	Passed	Remaining
0	11	2354
1	22	2273
2	35	2314
3	47	2330
4	60	2360
5	73	2375
6	84	2340
7	97	2333
8	110	2335
9	123	2348
10	136	2347
11	148	2331
12	160	2309
13	172	2290
14	184	2269
15	195	2252
16	208	2241
17	220	2229
18	232	2214
19	244	2198
20	255	2178
21	267	2162
22	278	2141
23	289	2126
24	300	2106
25	311	2087
26	323	2071
27	334	2054
28	346	2042
29	358	2029
30	370	2017
31	382	2009
32	395	2003
33	409	1996
34	422	1993
35	437	1992
36	451	1987
37	464	1979
38	477	1969
39	490	1961
40	504	1955
41	517	1947
42	531	1939
43	543	1928
44	557	1920
45	571	1912
46	586	1910
47	600	1902
48	615	1896
49	630	1890
50	644	1881
51	656	1869
52	671	1861
53	686	1855
54	700	1847
55	713	1835
56	727	1825
57	740	1814
58	753	1801
59	767	1790
60	779	1776
61	791	1761
62	803	1747
63	816	1734
64	829	1722
65	842	1711
66	856	1699
67	869	1687
68	883	1677
69	897	1667
70	911	1656
71	924	1642
72	936	1629
73	950	1617
74	962	1604
75	975	1592
76	989	1580
77	1003	1569
78	1016	1556
79	1027	1541
80	1040	1528
81	1052	1514
82	1064	1500
83	1075	1485
84	1087	1470
85	1099	1457
86	1112	1445
87	1125	1432
88	1138	1419
89	1149	1405
90	1160	1390
91	1171	1375
92	1183	1361
93	1194	1347
94	1206	1333
95	1218	1319
96	1229	1305
97	1240	1291
98	1251	1277
99	1262	1262
100	1274	1248
101	1286	1235
102	1297	1222
103	1310	1209
104	1322	1196
105	1334	1183
106	1345	1169
107	1357	1155
108	1368	1142
109	1379	1128
110	1391	1115
111	1403	1102
112	1414	1089
113	1425	1075
114	1437	1062
115	1448	1049
116	1460	1035
117	1471	1022
118	1482	1009
119	1494	996
120	1506	983
121	1517	970
122	1528	957
123	1540	943
124	1551	930
125	1563	918
126	1575	905
127	1588	893
128	1600	880
129	1612	868
130	1624	855
131	1635	842
132	1646	829
133	1658	816
134	1669	803
135	1680	790
136	1691	777
137	1703	765
138	1715	752
139	1727	740
140	1739	727
141	1752	715
142	1764	703
143	1775	690
144	1787	677
145	1798	665
146	1811	653
147	1824	640
148	1837	628
149	1849	616
150	1861	603
151	1872	591
152	1884	578
153	1896	566
154	1908	554
155	1921	541
156	1933	529
157	1945	517
158	1958	504
159	1969	492
160	1982	480
161	1994	467
162	2006	455
163	2017	442
164	2029	430
165	2040	417
166	2051	405
167	2063	393
168	2074	380
169	2085	368
170	2097	355
171	2107	343
172	2118	330
173	2130	318
174	2142	306
175	2154	293
176	2166	281
177	2177	269
178	2188	256
179	2199	244
180	2211	232
181	2222	219
182	2233	207
183	2245	195
184	2256	182
185	2267	170
186	2279	158
187	2290	146
188	2302	134
189	2314	121
190	2325	109
191	2336	97
192	2347	85
193	2358	72
194	2369	60
195	2381	48
196	2393	36
197	2405	24
198	2416	12
199	2428	0
